Wow!	वाह!
How is it going in the fish market?	मछली बाज़ार में कैसा चल रहा है?
How long will it take to get there?	वहाँ पहुँचने में कितनी देर लगेगी?
How many books do you read a month?	तुम एक महीने में कितनी किताबें पढ़ते हो?
How many sandwiches are there left?	कितने सैंडविच बचे हैं?
I am his friend and will remain so.	मैं उसका दोस्त हूँ और रहूँगा।
I am married and have two children.	मैं शादीशुदा हूँ और मेरे दो बच्चे हैं।
I cannot tolerate naughty children.	मैं नटखट बच्चों को बर्दाश्त नहीं कर सकता।
I don't know who wrote this letter.	मुझे नहीं पता कि यह चिट्ठी किसने लिखी है।
I don't like studying in this heat.	मुझे इस गर्मी में पढ़ाई करना अच्छा नहीं लगता।
I don't think I can wait that long.	मैं उतनी देर रुक नहीं सकता।
I doubt the truth of his statement.	मुझे उसके बयान की सच्चाई पर शक है।
I fell down the stairs in my haste.	अपनी ही जल्दबाज़ी मे मैं सीढ़ियों से नीचे गिर गया।
I had my brother repair my bicycle.	मैंने अपने भाई से अपनी साईकल ठीक करवाई।
I had nothing to do with the group.	मेरा उस ग्रुप के साथ कोई संबंध नहीं था।
I haven't seen him for a long time.	मैंने उसे बहुत दिनों से नहीं देखा है।
I hear that she's a famous actress.	मैंने सुना है कि वे मश्हूर अभिनेत्री हैं।
I helped my mother wash the dishes.	मैंने अपनी मम्मी को बर्तन धोने में मदद करी।
I learned French instead of German.	मैंने जर्मन की बजाय फ़्रानसीसी सीखी ।
I ordered those books from Germany.	मैंने उन किताबों जो जर्मनी से खरीदकर मंगवाया था।
I want to know about this mountain.	मुझे इस पहाड़ के बारे में जानना है।
I was able to play piano very well.	मैं पियानो बहुत अच्छा बजा लेता था।
I wish to go to Paris to study art.	मैं पैरिस जाकर आर्ट पढ़ना चाहता हूँ।
I wish to go to Paris to study art.	मैं पैरिस जाकर आर्ट पढ़ना चाहती हूँ।
I'm anxious for him to return safe.	मैं उसके सुरक्षित लौटने के लिए बेचैन हूँ।
If I don't do it now, I never will.	अगर मैं अभी नहीं करूँगा तो कभी नहीं करूँगा।
If I had wings, I would fly to you.	अगर मेरे पास पंख होते तो मैं उड़कर तुम्हारे पास चला आता।
It has been fine since last Friday.	पिछले शनिवार से मौसम बहुत अच्छा है।
It is going to rain this afternoon.	आज दोपहर बारिश होने वाली है।
It seems that everybody likes golf.	ऐसा लगता है जैसे कि सभी लोगों को गौल्फ़ अच्छा लगता है।
It shouldn't take long to find Tom.	टॉम को ढूँढने में समय नहीं लगना चाहिए।
It's more difficult than you think.	जितना तुम सोच रहे हो उतना आसान नहीं है।
Learning a foreign language is fun.	विदेषी भाषा सीखना बहुत मज़ेदार होता है।
My brother depends on me for money.	मेरा भाई पैसों के लिए मुझपर निर्भर है।
My sister is very fond of children.	मेरी बहन को बच्चों से बहुत प्यार है।
My wife has just cleared the table.	मेरी बीवी ने अभी-अभी मेज़ को साफ़ किया है।
Nowadays nobody believes in ghosts.	आजकल कोई भी भूत-प्रेत में विश्वास नहीं करता।
One is tall and the other is short.	एक लम्बा है और दूसरा छोटा है।
She accused me of making a mistake.	उसने मुझपर ग़लती करने का इलज़ाम लगाया।
She asked me if I knew her address.	उसने मुझसे पूछा कि मैं उसका पता जानता था या नहीं।
She didn't want him to go overseas.	वह लड़की नहीं चाहती थी कि वह लड़का विदेश जाए।
She didn't want to speak to anyone.	उसे किसी से भी बात करने का मन नहीं था।
She felt insecure about her future.	उसको अपना आने वाला कल थोड़ा डाँवाडोल लगा।
She felt insecure about her future.	उसको अपना भविष्य असुरक्षित लगा।
She is busy preparing for the trip.	वह सफ़र की तैयारी में लगी हुई है।
She was very surprised at the news.	वह खबर सुनकर हैरान रह गई।
She went to the market once a week.	वह हफ़्ते में एक बार बाज़ार जाती थी।
She's in the garden planting roses.	वह बगीचे में है, गुलाब के फूल लगा रही है।
Since he was tired, he went to bed.	वह थक गया था, तो सोने चला गया।
Since you're here, you can help me.	तुम यहाँ आ ही गए हो तो मेरी मदद कर सकते हो।
Take this medicine every six hours.	इस दवाई को हर छः घंटे लेना।
Teaching English is his profession.	अंग्रेज़ी पढ़ाना उसका पेशा है।
The animals in the forest died off.	जंगल के जानवर मर गए।
The baby fell asleep in the cradle.	बच्चा पालनी में सो गया।
The boy has an apple in his pocket.	इस लड़के के जेब में एक सेव है।
The fat woman was holding a monkey.	उस मोटी औरत ने एक बंदर पकड़ा हुआ था।
The hole is about five feet across.	गड्ढा पाँच फ़ुट चौड़ा है।
The king was deprived of his power.	उस राजा से उसकी ताक़त छीन ली गई।
The lion is the king of the jungle.	शेर जंगल का राजा है।
The mystery still remains unsolved.	वह आज भी एक रहस्य है।
The problem is being discussed now.	समस्या पर बहस जारी है।
The storm destroyed the whole town.	तूफ़ान ने पूरे नगर को नष्ट कर दिया।
The storm destroyed the whole town.	तूफ़ान ने पूरे शहर को तबाह कर दिया।
There is a strange man at the door.	दरवाज़े पर कोई अजीब सा इनसान है।
These questions are easy to answer.	इन सवालों का जवाब देना आसान है।
These questions are easy to answer.	ये प्रश्न सरल हैं।
They are proud of their clever son.	उन्हे अपने अकलमंद बेटे पर नाज़ है।
They brought trouble on themselves.	उन्होंने अपने ऊपर मुसीबत बुलाई।
This is a good newspaper, isn't it?	यह एक अच्छा अखबार है ना?
To make matters worse, he fell ill.	और-तो-और वह बीमार भी पड़ गया।
Tomorrow, he will land on the moon.	कल वह चाँद पर उतरेगा।
We are all eager to know the truth.	हम सब सच जानने के लिए बेचैन हैं।
What do you think she is doing now?	तुम्हारे हिसाब से वह अभी क्या कर रही होगी?
Where should I pick the tickets up?	मुझे टिकटें कहाँ से लेनीं होंगीं?
Why did you come here this morning?	तुम आज सुबह यहाँ क्यों आए?
Wooden buildings catch fire easily.	लकड़ी से बनी इमारतों में आग आसानी से लग जाती है।
Would you mind my opening the door?	क्या मैं दरवाज़ा खोल सकता हूँ?
You can have this book for nothing.	तुम यह किताब मुफ़्त में ले सकते हो।
You can't buy that kind of loyalty.	ऐसी वफ़ादारी खरीदी नहीं जा सकती।
You must take his age into account.	तुम्हे उसकी उम्र का भी लिहाज करना चाहिए।
You should make use of this chance.	तुम्हे इस मौके का फ़ायदा उठाना चाहिए।
You should make use of this chance.	तुम्हे इस मौके को गवा नहीं देना चाहिए।
You shouldn't leave the baby alone.	तुम्हे बच्चे को अकेला नहीं छोड़ना चाहिए।
A hundred years is called a century.	सौ सालों को एक शतक बुलाया जाता है।
According to him, she is not coming.	उसके हिसाब से वह नहीं आ रही।
All of a sudden, she began to laugh.	वह अचानक से हँस पड़ी।
All of my kids want to learn French.	मेरे सभी बच्चें फ़्रेंच सीखना चाहते हैं।
Are you reading an interesting book?	आप कोई दिलचस्प किताब पढ़ रहें हैं क्या?
Are you reading an interesting book?	तुम कोई दिलचस्प किताब पढ़ रहे हो क्या?
Are you reading an interesting book?	तुम कोई दिलचस्प किताब पढ़ रही हो क्या?
Are you saying my life is in danger?	क्या तुम कह रहे हो कि मेरी जान ख़तरे में है?
Can I extend my stay one more night?	मैं एक रात और रह सकता हूँ क्या?
Don't talk about it in front of him.	उसके सामने इसके बारे में बात मत करो।
Everybody came to the class on time.	सभी लोग क्लास में समय पर पहुँचे।
Everyone in my family gets up early.	मेरे परिवार में हर कोई जल्दी उठता है।
Excuse me, is there a toilet nearby?	सुनिए, आस-पास में कोई टॉयलेट है क्या?
Few students use pencils these days.	आजकल बहुत कम विद्यार्थी पेनसिल इस्तेमाल करतें हैं।
God helps those who help themselves.	ईश्वर उनकी मदद करता है जो स्वयं की मदद करते हैं।
He can both speak and write Russian.	वह रूसी बोलना और लिखना दोनो जानता है।
He couldn't understand the sentence.	उसको वाक्य समझ में नहीं आया।
He cried as if he were a boy of six.	उसने छः बरस के बच्चे की तरह रोया।
He made up his mind to study abroad.	उसने विदेश में पढ़ने का निर्णय लिया।
He seemed surprised by my ignorance.	उसने मेरे अज्ञान पर आशंका जताई।
He stuck the broken pieces together.	उसने टूटे हुए टुकड़ों को वापस जोड़ा।
He will get better little by little.	वह धीरे-धीरे ठीक हो जाएगा।
Her advice to me was to work harder.	उसकी मेरे लिए सलाह यह थी कि मैं ज़्यादा मन लगाकर काम करूँ।
Her way of talking got on my nerves.	उसके बात करने के तरीके पर मुझे खींज आती है।
Hurry, and you will catch the train.	जल्दी करो तो ट्रेन पकड़ सकते हो।
I am a student at Oxford University.	मैं ऑक्सफ़र्ड विश्वविद्यालय में विद्यार्थी हूँ।
I am really pleased with my new car.	मैं अपनी नई गाड़ी से बहुत खुश हूँ।
I buried my dog at the pet cemetery.	मैंने अपने कुत्ते को पालतू जानवरों के कब्रिस्तान में बरी कर दिया।
I don't want to spend more than $10.	मैं दस डॉलर से ज़्यादा नहीं खर्चना चाह्ता हूँ।
I never dreamed that you would lose.	मैंने सपने में भी नहीं सोचा था कि तुम हार जाओगे।
I visit my grandmother twice a week.	मैं अपनी नानी से हफ़्ते में दो बार मिलने जाता हूँ।
I visit my grandmother twice a week.	मैं अपनी दादी से हफ़्ते में दो बार मिलने जाता हूँ।
I was in bed all day long yesterday.	कल मैं पूरे दिन बिस्तर में था।
I will come back to Canada tomorrow.	मैं कल कनाडा वापस आऊँगा।
I've studied English for five years.	मैंने पाँच साल के लिए अंग्रेज़ी पढ़ी है।
In Japan, all children go to school.	जापान में सभी बच्चें स्कूल जाते हैं।
Keep an eye on the baby for a while.	बच्चे पर ध्यान रखना थोड़ी देर के लिए।
Let's get together here once a week.	हमे यहाँ हफ़्ते में एक बार मिलना चाहिए।
My birthday is one month from today.	मेरा जन्मदिन आज से एक महीने में है।
My father usually comes home at six.	मेरे पापा आमतौर पर छः बजे घर लौटकर आते हैं।
My father went jogging after dinner.	मेरे पापा रात को खाना खाने के बाद दौड़ने गए थे।
My father works for a power company.	मेरे पापा बिजली की कम्पनी में काम करते हैं।
No one believes that he is innocent.	किसी को भी उसके निर्दोष होने का यकीन नहीं है।
Opinions vary from person to person.	हर इनसान की राय अलग होती है।
Opinions vary from person to person.	हर इनसान की सोच अलग होती है।
She always complains of her teacher.	वह हमेशा अपनी टीचर की शिक़ायत करती है।
She believes her son is still alive.	उसको लगता है कि उसका बेटा अभी भी ज़िंदा है।
She talks as if she knew everything.	वह तो ऐसे बात करती है जैसे उसे सब कुछ पता हो।
Some day we'll take a trip to India.	हम एक दिन भारत का सफ़र करने जाएंगे।
Some like tea, others prefer coffee.	कुछ लोगों को चाय अच्छी लगती है, और कुछ लोगों को कॉफ़ी।
Stars cannot be seen in the daytime.	सितारे दिन में नहीं दिखते |
Tell me the name of the ninth month.	मुझे नौवे महीने का नाम बताओ।
That's a completely unfounded rumor.	वह अफ़वाह पूरी तरह से बेबुनयाद है।
The cat slowly approached the mouse.	बिल्ली धीरे से चूहे की तरफ़ बढ़ी।
The children were well looked after.	बच्चों की देखभाल अच्छी तरह से की जाती थी।
The doctor advised him not to smoke.	डॉक्टर ने उसे सिगरेट न पीने की सलह दी।
The doctor advised him not to smoke.	डॉक्टर ने उन्हें सिगरेट न पीने की सलह दी।
The law says that all men are equal.	क़ानून के मुताबिक सभी मनुष्य समान हैं।
The plan has been successful so far.	प्लान अब तक कामयाब रहा है।
The plane will take off in one hour.	विमान एक घंटे में उड़ान भरेगा।
The wind scattered the leaves about.	हवा ने पत्तियों को यहाँ-वहाँ बिखेर दिया।
There are many old temples in Kyoto.	क्योटो में बहुत सारे पुराने मंदिर हैं।
This hat does match the brown dress.	यह टोपी उस ब्राऊन ड्रेस के साथ जचती नहीं है।
We are in agreement on this subject.	हम इस विषय पर सहमत हैं।
We managed to swim across the river.	हम नदी को तैरकर पार कर पाए।
We talked to each other for a while.	हमने थोड़ी देर के लिए एक-दूसरे के साथ बात करी।
We were all very happy at breakfast.	हम सब नाश्ते के समय बहुत खुश थे।
What are you going to do in college?	तुम कॉलेज जाकर क्या करोगे?
What do you usually do after dinner?	तुम आमतौर पर रात में खाना खाने के बाद क्या करते हो?
What was the weather like yesterday?	कल का मौसम कैसा था?
What would the world do without tea?	दुनिया चाय के बिना क्या करेगी?
Which shoes are you going to put on?	तुम कौनसे जूते पहनोगी?
Won't you come and see me next week?	मुझे अगले हफ़्ते देखने आओगे ना?
Would you speak more slowly, please?	आप थोड़ा धीरे बोल सकते हैं क्या?
You are doing very well. Keep it up.	तुम अच्छा काम कर रहे हो। ऐसे ही करते रहो।
You've never seen a genuine diamond.	तुमने असली हीरा कभी देखा ही नहीं है।
A river runs down through the valley.	वादी में से एक नदी बहती है।
A thick mist covered the countryside.	गाँव पर गहरा कोहरा छा गया।
Are there enough chairs to go around?	कुरसियाँ काफ़ी हैं क्या?
At times I feel like quitting my job.	मुझे कभी-कभी अपनी नौकरी छोड़ देने का मन करता है।
Buddhism had its beginnings in India.	बौद्ध धर्म भारत में पैदा हुआ था।
Butter and cheese are made from milk.	मक्खन और पनीर दूध से बनते हैं।
Classical music is not my cup of tea.	मुझे शास्त्रीय संगीत सुनने का शौक नहीं है।
Could you bring me another hot towel?	मेरे लिए एक और गरम तौलिया ला सकते हैं क्या?
Do you feel any pain in your stomach?	क्या आपको पेट में दर्द महसूस हो रहा है?
He broke one of the bones in his leg.	उसने अपने पैर की एक हड्डी तोड़ ली।
He is less impatient than his father.	उसमें उसके पिता जितनी बेसब्री नहीं थी।
He lost no time answering the letter.	उसने फटाफट चिट्ठी का जवाब दिया।
He put a hand gently on her shoulder.	उसने हल्के से उसके कंधे पर हाथ रखा।
He said he would see me the next day.	उसने कहा था कि वह मुझसे अगले दिन मिलेगा।
He was born in a small town in Italy.	वह इटली के एक छोटे से गाँव में पैदा हुआ था।
He was standing at the street corner.	वह सड़क के किनारे पर खड़ा था।
He will be a doctor when he grows up.	वह बड़ा होकर डॉक्टर बनना चाहता है।
He wiped the sweat from his forehead.	उसने अपने माथे से पसीना पोंछा।
His dog follows him wherever he goes.	वह जहाँ भी जाता है, उसका कुत्ता उसके पीछे पीछे जाता है।
How do you interpret these sentences?	तुम इन वाक्यों का क्या माईने निकालते हो?
I am doing business on a large scale.	मैं बड़े पैमाने पर व्यापार कर रहा हूँ।
I had met her many times before then.	मैं उससे पहले कई बार मिल चुका था।
I had met him many times before then.	मैं उससे पहले कई बार मिल चुका था।
I have nothing to say on this matter.	मुझे इस विषय पर कुछ नहीं कहना है।
I helped my father water the flowers.	मैंने अपने पापा को फूलों को पानी डालने में मदद करी थी।
I took the opportunity to visit Rome.	मैंने रोम जाने के मौका का फ़ायदा उठाया।
I want to know why Tom is doing this.	मुझे यह बताओ, कि टॉम ऐसा कर क्यों रहा है।
I was amazed at the speed of the car.	मैं उस गाड़ी की रफ़तार देखकर हैरान रह गया।
I was scared that you might leave me.	मुझे डर था कि तुम मुझे छोड़ दोगे।
I went to Europe by way of Anchorage.	आंकरेज होते हुए मैं युरोप गया।
I'm satisfied with my current income.	मैं अपनी कमाई से संतुष्ट हूँ।
I'm satisfied with my current income.	मैं अपनी वर्तमान आमदनी से संतुष्ट हूँ।
I'm sorry, but I can't hear you well.	माफ़ कीजिएगा, पर मैं आपको ठीक से सुन नहीं पा रहा हूँ।
I'm sorry, but I can't hear you well.	माफ़ कीजिएगा, पर मैं आपको ठीक से सुन नहीं पा रही हूँ।
I've got a bit of an ache in my back.	मेरी पीठ में थोड़ा दर्द हो रहा है।
I've got one brother and two sisters.	मेरा एक भाई और दो बहनें हैं।
Imagine that you have a time machine.	सोचो कि तुम्हारे पास एक टाइम मशीन है।
In those days, I went to bed earlier.	उन दिनों में मैं (रात में) जल्दी से सो जाया करता था।
It's your turn. Please come this way.	तुम्हारी बारी है। इस तरफ़ आओ।
She complained to me of his rudeness.	उसने मुझसे उसकी असभ्यता के बारे में शिक़ायत करी।
She prepared a wonderful meal for us.	उसने हमारे लिए बहुत ही शानदार भोजन तैयार किया।
She was only pretending to be asleep.	वह सोना का बहाना कर रही थी।
She went to Paris for the first time.	वह पहली बार पैरिस गई थी।
That's Tom's house with the red roof.	लाल छत वाला वह टॉम का घर है।
That's too small to fit on your head.	वह तुम्हारे सर के लिए बहुत छोटा है।
The train is made up of fifteen cars.	रेलगाड़ी में १५ डब्बे हैं।
There's been a lot of rain this year.	इस साल बहुत बारिश पड़ी है।
They dug here and there for treasure.	उन्होंने ख़ज़ाना ढूँढने के लिए यहाँ-वहाँ खोदा।
Turn left and you will find the cafe.	बाएं मुड़ो और तुम्हें एक कैफ़े मिलेगा।
We are all anxious about your health.	हम सब तुम्हारे स्वास्थ्य के लिए बहुत चिंतित हैं।
We are all anxious about your health.	हम सब तुम्हारी सेहत के लिए बहुत परेशान हैं।
We are to meet in front of his house.	हम उसके घर के सामने मिलेंगे।
What put such an idea into your head?	तुम्हारे दिमाग़ में यह बात कैसे आई?
Who are you going to eat dinner with?	डिनर किसके साथ करोगे?
You can see the whole city from here.	तुम यहाँ से पूरा शहर देख सकते हो।
You should have attended the meeting.	तुम्हे मीटिंग में आना चाहिए था।
Your daughter is not a child anymore.	तुम्हारी बेटी अब बच्ची नहीं है।
A good idea occurred to me last night.	मुझे कल सोते समय दिमाग़ में एक अच्छा आयडिया आया।
At last, the truth became known to us.	आखिरकार हमे सच्चाई का पता चल गया।
He asked me if I could do him a favor.	उसने मुझसे एक एहसान माँगा।
He can imitate the rest of the family.	वह अपने सारे घरवालों की नकल उतार सकता है।
He earns more money than he can spend.	वह ज़रूरत से ज़्यादा पैसे कमाता है।
He exhibited no remorse for his crime.	उसको उसके जुर्म पर बिलकुल भी पछतावा नहीं था।
He gave his children a good education.	उसने अपने बच्चों को अच्छी शिक्षा दी।
He wouldn't allow me to drive his car.	उसने मुझे उसकी गाड़ी नहीं चलाने दी।
His failure has nothing to do with me.	उसकी नाकामयाबी से मेरा कोई लेना-देना नहीं है।
How many cars has that company bought?	कम्पनी ने कितनी गाड़ियाँ ख़रीदीं हैं?
How many people are on board the ship?	जहाज़ में कितने लोग हैं?
I always got up early in my childhood.	जब मैं छोटा था मैं हमेशा जल्दी सोकर उठा करता था।
I am going to go play ball with Mohan.	मैं मोहन के साथ गेंद खेलने जा रहा हूँ।
I am well acquainted with the subject.	मैं इस विषय से परिचित हूँ।
I don't know if it will rain tomorrow.	मुझे मालूम नहीं कल बारिश होगी या नहीं।
I don't want to buy this kind of sofa.	मुझे इस तरह का सोफ़ा नहीं खरीदना है।
I doubt the veracity of his statement.	मुझे उसके बयान की सच्चाई पर शक़ है।
I had never seen her before that time.	मैंने उसे पहले कभी नहीं देखा था।
I know a girl who can ride a unicycle.	मेरे जान-पहचान की एक लड़की को युनिसायकल चलाना आता है।
I know his address, but it's a secret.	मुझे उसका पता पता है, पर वह एक राज़ है।
I regret not having bought that house.	मुझे उस घर को न खरीदने का पछतावा हो रहा है।
I want to help you with your homework.	मैं तुम्हें तुम्हारे होमवर्क के साथ मदद करना चाहता हूँ।
I'll be staying here for three months.	मैं यहाँ तीन महीनों के लिए रहूँगा।
I'm sure that she will come back soon.	मुझे यकीन है कि वह जल्द ही वापस आ जाएगी।
I've taught myself to play the guitar.	मैंने खुद से गिटार बजाना सीख लिया है।
It is necessary that you see a doctor.	तुम्हारे लिए डॉक्टर को देखने जाना ज़रूरी है।
It's been ten years since we last met.	हमारी पिछली मुलाक़ात से अब दस साल हो गए हैं।
Leave your umbrella at the front door.	अपने छाते को सामने वाले द्वार छोड़ दो।
Look up the phrase in your dictionary.	शब्दकोश में उस वाक्यांश को ढूँढो।
Mary was looking for you at that time.	मेरी उस समय तुम्हें ढूँढ रही थी।
Mom scolded me for making fun of them.	माँ ने मेरे उनका मज़ाक उड़ाने के लिए डाँट लगाई।
My mother put clean sheets on the bed.	मेरी माँ ने बिस्तर पर साफ़ चादर बिछाई।
My sister always keeps her room clean.	मेरी बहन अपने कमरे को हमेशा साफ़-सुथरा रखती है।
My uncle is an amateur cricket player.	मेरे अंकल क्रिकेट के शौकिया खिलाड़ी हैं।
My uncle is an amateur cricket player.	मेरे मामा क्रिकेट के शौकिया खिलाड़ी हैं।
My uncle is an amateur cricket player.	मेरे चाचा क्रिकेट के शौकिया खिलाड़ी हैं।
My uncle is an amateur cricket player.	मेरे ताऊजी क्रिकेट के शौकिया खिलाड़ी हैं।
She called her children into the room.	उसने अपने बच्चों को कमरे में बुलाया।
She passed away peacefully last night.	वह कल रात आराम से चल बसीं।
She told me that she wanted a pet dog.	उसने मुझसे कहा कि उसे कुत्ता पालने का मन था।
She was brought up by her grandmother.	उसकी दादी ने उसे पाल-पोस कर बड़ा किया था।
She was brought up by her grandmother.	उसकी नानी ने उसे पाल-पोस कर बड़ा किया था।
She was watching the dead leaves fall.	वह मुर्झाई हुई पत्तियों को गिरते हुए देख रही थी।
She will become a doctor in two years.	वह दो सालों में डॉक्टर बन जाएगी।
Sickness prevented him from going out.	वह बीमारी की वजह से बाहर नहीं जा सका।
Strange as it may sound, this is true.	चाहे सुनने में जितना भी अजीब लगे, यह सच है।
Taste this wine to see if you like it.	यह वाईन चखकर देखो तुम्हें अच्छी लगती है कि नहीं।
The dog followed him wherever he went.	वह जहाँ भी जाए, वह कुत्ता उसके पीछे-पीछे जाता था।
The food was not fit for man or beast.	वह खाना न तो आदमी न जानवर को खिलाने लायक था।
The police were patrolling the street.	पुलिस ने सड़क पर पहरा लगा दिया था।
The train is ten minutes behind today.	आज ट्रेन दस मिनट लेट है।
The trouble is that they have no time.	मुश्किल यह है कि उनके पास समय नहीं है।
There is no longer any room for doubt.	शक की कोई गुंजाईश नहीं रही है।
There's no use trying to persuade him.	उसको मनाने की कोशिश करने में कोई फ़ायदा नहीं है।
They charged me for the broken window.	उन्होंने ने मुझसे टूटी हुई खिड़की के लिए पैसे माँगे।
They were scattered in all directions.	वे सारी दिशाओं में फैले हुए थे।
This cloth is really smooth and silky.	यह कपड़ा बहुत रेशमी है।
This machine is driven by electricity.	यह मशीन बिजली से चलती है।
This medicine will clear up your cold.	यह दवाई तुम्हारा गला साफ़ कर देगी।
This medicine will take the pain away.	यह दवाई दर्द को दूर कर देगी।
Two boys came running out of the room.	दो लड़के कमरे से भागे निकल आए।
We have two unused rooms in our house.	हमारे पास घर में दो कमरे हैं जिनका हम इस्तेमाल नहीं कर रहे हैं।
We ordered pink, but we received blue.	हमने पिंक रंग वाले का ऑर्डर किया था पर हमे नीले रंग वाला मिला।
We tried it again, but couldn't do it.	हमने फिरसे करने की कोशीश की, पर नहीं कर पाए।
Where's the remote control for the TV?	टीवी का रिमोट कहाँ है?
You are wearing your shirt inside out.	तुमने अपनी कमीज़ उलटी पहनी हुई है।
You are wearing your shirt inside out.	तुमने अपनी टी-शर्ट उलटी पहनी हुई है।
You can see a lot of stars in the sky.	तुम्हें आसमान में बहुत सारे सितारे दिखाई देंगे।
You should make good use of your time.	तुम्हे अपने समय का ठीक से इस्तेमाल करना चाहिए।
"Where do you live?" "I live in Tokyo."	"आप कहाँ रहते हैं?" "मैं टोक्यो में रहता हूँ"
Father sometimes took me to his office.	पापा कभी-कभी मुझे दफ़्तर ले जाया करते थे।
He could not sleep because of the heat.	वह गर्मी की वजह से सो नहीं पाया।
He embezzled the money from his office.	उसने अपने दफ़तर के पैसों को गबन किया।
He had nothing to say, so he went away.	उसके पास कुछ भी कहने को नहीं था, तो वह चला गया।
He is getting along with his employees.	वह अपने कर्मचारियों के साथ अच्छे से निभता है।
He sold his own car without hesitation.	उसने अपनी गाड़ी बिना हिचकिचाहट हे बेच दी।
He used to tell me stories about India.	वह मुझे भारत के बारे में कहानियाँ सुनाया करता था।
Her mother was busy cooking the dinner.	उसकी माँ खाना बनाने में लगी हुई थी।
How many times a day does that bus run?	वह बस दिन में कितनी बार चलती है?
How soon can you have this dress ready?	इस ड्रेस को कितनी जल्दी तैयार कर सकते हो?
I am fully convinced of your innocence.	मुझे तुम्हारे बेगुनाह होने पर पूरा यकीन है।
I am interested in American literature.	मुझे अम्रीकी साहित्य में दिलचस्पी है।
I am much obliged to you for your help.	मैं आपकी मदद के लिए बहुत आभारी हूँ।
I began to sing when I was a youngster.	मैंने छोटी उम्र से ही गाना गाना शुरू कर दिया था।
I can't put up with this noise anymore.	मैं इस शोर को और बर्दाश्त नहीं कर सकती।
I found nothing but a pair of scissors.	मुझे कैंचियों के अलावा और कुछ नहीं मिला।
I know that all of this is just a game.	मैं जानता हूँ कि यह सब एक खेल है।
I met her in London for the first time.	मेरी उसके साथ पहली मुलाकात लंदन में हुई थी।
I need to go home a little early today.	मुझे आज थोड़ा जल्दी घर जाना है।
I was able to answer all the questions.	मैं सारे सवालों का जवाब दे पाया था।
I will ask him about it tomorrow, then.	फिर मैं उससे उसके बारे में कल पूछूँगा।
I will find out how the medicine works.	मैं पता लगाऊँगा कि यह दिवाई कैसे काम करती है।
I will pay my debt as soon as possible.	मैं अपना कर्ज़ जल्द-से-जल्द चुकताऊँगा।
I'd like to see him tomorrow afternoon.	मैं उससे कल दोपहर को मिलना चाहता हूँ।
I'll be in Tokyo on business next week.	मैं अगले हफ़्ते टोक्यो में हूँगा काम पर।
If you have time, please drop in on us.	अगर आपके पास समय हो तो हमसे मिलने आईएगा।
It will go away by itself in two weeks.	वह दो हफ़्तों में अपने-आप चला जाएगा।
Mother bought a beautiful doll for her.	माँ ने उसके लिए एक सुन्दर सी गुड़िया खरीदी।
My father consented to my going abroad.	मेरे पिता मेरे विदेश जाने से राज़ी थे।
My mother often suffers from headaches.	मेरी माँ को अक्सर सिरदर्द होता है।
Nothing but a miracle can save her now.	अब तो उसे कोई चमत्कार ही बचा सकता है।
Please come again two weeks from today.	आज से दो हफ़्तों के बाद फिरसे आईएगा।
She is living in some village in India.	वह भारत के किसी गाँव में रह रही है।
She reminds me very much of her mother.	वह मुझे उसकी माँ की याद दिलाती है।
She said to herself, "I am very happy."	उसने अपने आप से कहा: "मैं बहुत खुश हूँ"
Talking is one thing, doing is another.	बोलने और करने में फ़र्क होता है।
The gentleman is a very famous pianist.	यह महाशय बहुत जाने-माने पियानिस्ट हैं।
The lights have been burning all night.	बत्तियाँ पूरी रात से जल रहीं हैं।
The rumor proved to be an absolute lie.	वह अफ़वाह एकदम झूठी निकली।
The scar on his cheek hardly shows now.	उसकी गाल पर जो चोट का निशान है वह अब बहुत हल्का हो गया है।
The two languages have a lot in common.	इन दो भाषाओं में बहुत सारी समानताएं हैं।
The work must be completed by tomorrow.	काम कल तक खतम होना होगा।
They will fall in love with each other.	उन्हें एक-दूसरे से प्यार हो जाएगा।
We must try to protect the environment.	हमे पर्यावरण की रक्षा करने की कोशिश करनी चाहिए।
What languages do they speak in Canada?	कनाडा में कौनसी भाषाएं बोली जाती हैं?
Which is the more expensive of the two?	इन दोनो में से ज़्यादा महंगा कौनसा है?
Who doesn't know such a simple proverb?	इस तरह की आम कहावत को कौन नहीं जानता?
Workers must have their hair cut short.	कर्मचारियों को अपने बाल छोटे कटाने होते हैं।
